id,last_update,air_temp1,air_temp2,humdity,wind_speed,air_pressure,solar_radiation,lattitude,longitude
1,3/16/16 08:00,35,40,52,0,1023,6,25.590131,91.8924371
2,3/16/16 08:05,34,35,55,0,1023,6,25.590131,91.8924371
3,3/16/16 08:10,31,36,55,0,1023,6,25.590131,91.8924371
4,3/16/16 08:15,34,37,55,10,1023,6,25.590131,91.8924371
5,3/16/16 08:20,30,35,55,10,1023,6,25.590131,91.8924371
6,3/16/16 08:25,30,33,52,0,1023,6,25.590131,91.8924371
7,3/16/16 08:30,34,36,51,0,1023,6,25.590131,91.8924371
8,3/16/16 08:35,33,38,50,10,1023,6,25.590131,91.8924371
9,3/16/16 08:40,35,37,51,0,1023,6,25.590131,91.8924371
10,3/16/16 08:45,33,37,50,0,1023,6,25.590131,91.8924371
